({'A': 1, 'N': 4, 'R': 5, 'DEFAULT': 0, 'V': 4}, (0.9011389096340553, 0.6497590459854611, 0.6239879917648086))
({'A': 1, 'N': 5, 'R': 2, 'DEFAULT': 0, 'V': 5}, (0.9012089245705751, 0.6497590459854611, 0.6239978019985836))
({'A': 1, 'N': 1, 'R': 1, 'DEFAULT': 0, 'V': 4}, (0.9013489544436146, 0.6496773666584987, 0.6238298805110675))
({'A': 1, 'N': 1, 'R': 2, 'DEFAULT': 0, 'V': 4}, (0.9013256161314414, 0.6496773666584987, 0.6238298805110675))
({'A': 1, 'N': 1, 'R': 3, 'DEFAULT': 0, 'V': 4}, (0.9013489544436146, 0.6496773666584987, 0.6239166780594395))
({'A': 1, 'N': 1, 'R': 5, 'DEFAULT': 0, 'V': 4}, (0.901465646004481, 0.6496773666584987, 0.6239166780594395))
({'A': 1, 'N': 3, 'R': 2, 'DEFAULT': 0, 'V': 3}, (0.9012089245705751, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 4, 'R': 3, 'DEFAULT': 0, 'V': 3}, (0.9012322628827483, 0.6496773666584987, 0.6239269293342004))
({'A': 1, 'N': 4, 'R': 4, 'DEFAULT': 0, 'V': 4}, (0.9010922330097088, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 2, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.6496773666584987, 0.6239269293342004))
({'A': 1, 'N': 5, 'R': 3, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 1, 'DEFAULT': 0, 'V': 5}, (0.9012089245705751, 0.6496773666584987, 0.6239347557436042))
({'A': 1, 'N': 5, 'R': 3, 'DEFAULT': 0, 'V': 5}, (0.9011855862584018, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 4, 'DEFAULT': 0, 'V': 5}, (0.9011622479462286, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 5, 'DEFAULT': 0, 'V': 5}, (0.9011622479462286, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 1, 'R': 4, 'DEFAULT': 0, 'V': 4}, (0.9014889843166543, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 1, 'R': 4, 'DEFAULT': 0, 'V': 5}, (0.9015356609410008, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 1, 'R': 5, 'DEFAULT': 0, 'V': 5}, (0.9015589992531741, 0.6495956873315364, 0.6237746690294966))
({'A': 1, 'N': 2, 'R': 1, 'DEFAULT': 0, 'V': 4}, (0.9012789395070948, 0.6495956873315364, 0.6237497192147946))
({'A': 1, 'N': 2, 'R': 1, 'DEFAULT': 0, 'V': 5}, (0.9012089245705751, 0.6495956873315364, 0.6238286574914965))
