({'A': 1, 'N': 5, 'R': 2, 'DEFAULT': 0, 'V': 5}, (0.9012089245705751, 0.6497590459854611, 0.6239978019985836))
({'A': 1, 'N': 4, 'R': 5, 'DEFAULT': 0, 'V': 4}, (0.9011389096340553, 0.6497590459854611, 0.6239879917648086))
({'A': 1, 'N': 5, 'R': 1, 'DEFAULT': 0, 'V': 5}, (0.9012089245705751, 0.6496773666584987, 0.6239347557436042))
({'A': 1, 'N': 4, 'R': 3, 'DEFAULT': 0, 'V': 3}, (0.9012322628827483, 0.6496773666584987, 0.6239269293342004))
({'A': 1, 'N': 5, 'R': 2, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.6496773666584987, 0.6239269293342004))
({'A': 1, 'N': 3, 'R': 2, 'DEFAULT': 0, 'V': 3}, (0.9012089245705751, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 4, 'R': 4, 'DEFAULT': 0, 'V': 4}, (0.9010922330097088, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 3, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 3, 'DEFAULT': 0, 'V': 5}, (0.9011855862584018, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 4, 'DEFAULT': 0, 'V': 5}, (0.9011622479462286, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 5, 'R': 5, 'DEFAULT': 0, 'V': 5}, (0.9011622479462286, 0.6496773666584987, 0.6239171296636915))
({'A': 1, 'N': 1, 'R': 3, 'DEFAULT': 0, 'V': 4}, (0.9013489544436146, 0.6496773666584987, 0.6239166780594395))
({'A': 1, 'N': 1, 'R': 5, 'DEFAULT': 0, 'V': 4}, (0.901465646004481, 0.6496773666584987, 0.6239166780594395))
({'A': 3, 'N': 5, 'R': 4, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.649514008004574, 0.6238866562832786))
({'A': 3, 'N': 5, 'R': 5, 'DEFAULT': 0, 'V': 4}, (0.9012322628827483, 0.649514008004574, 0.6238866562832786))
({'A': 1, 'N': 3, 'R': 3, 'DEFAULT': 0, 'V': 2}, (0.9012322628827483, 0.649514008004574, 0.6238616417840189))
({'A': 1, 'N': 4, 'R': 4, 'DEFAULT': 0, 'V': 3}, (0.9012089245705751, 0.6495956873315364, 0.6238560476046189))
({'A': 1, 'N': 3, 'R': 4, 'DEFAULT': 0, 'V': 3}, (0.9010922330097088, 0.6495956873315364, 0.6238462585024757))
({'A': 1, 'N': 3, 'R': 5, 'DEFAULT': 0, 'V': 3}, (0.9011389096340553, 0.6495956873315364, 0.6238462585024757))
({'A': 1, 'N': 4, 'R': 3, 'DEFAULT': 0, 'V': 4}, (0.9012089245705751, 0.6495956873315364, 0.6238462585024757))
