({'V': 3, 'A': 5, 'N': 1, 'R': 4, 'DEFAULT': 0}, (0.7787994772218073, 0.6616842277219636, 0.6256846292963881))
({'V': 3, 'A': 5, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.7787528005974608, 0.6615208690680389, 0.6255752352362097))
({'V': 3, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.778682785660941, 0.6613575104141142, 0.6253621808291304))
({'V': 3, 'A': 5, 'N': 1, 'R': 5, 'DEFAULT': 0}, (0.778776138909634, 0.6612758310871518, 0.6252362209472134))
({'V': 3, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.7784260642270351, 0.6609491137793024, 0.6252215019764841))
({'V': 2, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.7784494025392084, 0.6607040757984154, 0.6249032627811948))
({'V': 2, 'A': 4, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.7781926811053025, 0.6607857551253777, 0.6248569891567564))
({'V': 4, 'A': 5, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.7789861837191935, 0.6609491137793024, 0.6247258622512196))
({'V': 3, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.7782860343539956, 0.6607857551253777, 0.6246704789657366))
({'V': 2, 'A': 5, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.7782160194174758, 0.6611124724332271, 0.6246228070443032))
({'V': 3, 'A': 4, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.7784027259148618, 0.6607857551253777, 0.6246225338605872))
({'V': 3, 'A': 4, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.7784727408513816, 0.6609491137793024, 0.6246164392224238))
({'V': 2, 'A': 4, 'N': 1, 'R': 5, 'DEFAULT': 0}, (0.7784027259148618, 0.6605407171444907, 0.6245754420238895))
({'V': 3, 'A': 4, 'N': 1, 'R': 5, 'DEFAULT': 0}, (0.7782160194174758, 0.6607857551253777, 0.6244683917795159))
({'V': 2, 'A': 4, 'N': 1, 'R': 1, 'DEFAULT': 0}, (0.7781460044809559, 0.660622396471453, 0.6244596391728047))
({'V': 2, 'A': 4, 'N': 1, 'R': 3, 'DEFAULT': 0}, (0.7781926811053025, 0.6605407171444907, 0.6243802620900079))
({'V': 2, 'A': 4, 'N': 1, 'R': 4, 'DEFAULT': 0}, (0.7782860343539956, 0.660377358490566, 0.6243305462962354))
({'V': 3, 'A': 4, 'N': 1, 'R': 4, 'DEFAULT': 0}, (0.7782860343539956, 0.6604590378175283, 0.6242649140701522))
({'V': 2, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.7784260642270351, 0.6608674344523401, 0.6242596427110797))
({'V': 4, 'A': 5, 'N': 1, 'R': 2, 'DEFAULT': 0}, (0.7791028752800597, 0.6607857551253777, 0.6242035479661306))
